iteration,error
1,18.43145
2,18.4313
3,18.43117
4,18.43103
5,18.43091
6,18.43079
7,18.43067
8,18.43056
9,18.43045
10,18.43035
11,18.43025
12,18.43016
13,18.43007
14,18.42998
15,18.4299
16,18.42982
17,18.42974
18,18.42966
19,18.42959
20,18.42952
21,18.42946
22,18.42939
23,18.42933
24,18.42927
25,18.42921
26,18.42916
27,18.4291
28,18.42905
29,18.429
30,18.42896
31,18.42891
32,18.42886
33,18.42882
34,18.42878
35,18.42874
36,18.4287
37,18.42867
38,18.42863
39,18.4286
40,18.42856
41,18.42853
42,18.4285
43,18.42847
44,18.42844
45,18.42841
46,18.42839
47,18.42836
48,18.42834
49,18.42831
50,18.42829
51,18.42827
52,18.42825
53,18.42823
54,18.42821
55,18.42819
56,18.42817
57,18.42815
58,18.42813
59,18.42812
60,18.4281
61,18.42809
62,18.42807
63,18.42806
64,18.42804
65,18.42803
66,18.42802
67,18.42801
68,18.428
69,18.42798
70,18.42797
71,18.42796
72,18.42795
73,18.42794
74,18.42793
75,18.42792
77,18.42791
78,18.4279
79,18.42789
80,18.42788
82,18.42787
83,18.42786
85,18.42785
87,18.42784
88,18.42783
90,18.42782
92,18.42781
95,18.4278
97,18.42779
100,18.42778
103,18.42777
107,18.42776
112,18.42775
118,18.42774
128,18.42773
