iteration,error
1,4.6049
2,4.5476
3,4.49105
4,4.43525
5,4.38019
6,4.32586
7,4.27224
8,4.21933
9,4.16712
10,4.11558
11,4.06473
12,4.01453
13,3.965
14,3.9161
15,3.86784
16,3.8202
17,3.77317
18,3.72675
19,3.68093
20,3.63569
21,3.59102
22,3.54692
23,3.50339
24,3.4604
25,3.41795
26,3.37604
27,3.33466
28,3.29379
29,3.25343
30,3.21357
31,3.17421
32,3.13534
33,3.09695
34,3.05903
35,3.02158
36,2.98459
37,2.94806
38,2.91198
39,2.87635
40,2.84115
41,2.80638
42,2.77205
43,2.73814
44,2.70464
45,2.67156
46,2.63889
47,2.60663
48,2.57476
49,2.5433
50,2.51222
51,2.48154
52,2.45124
53,2.42132
54,2.39178
55,2.36261
56,2.33382
57,2.3054
58,2.27734
59,2.24964
60,2.22231
61,2.19533
62,2.1687
63,2.14242
64,2.1165
65,2.09091
66,2.06567
67,2.04077
68,2.01621
69,1.99198
70,1.96808
71,1.94451
72,1.92126
73,1.89834
74,1.87574
75,1.85345
76,1.83148
77,1.80982
78,1.78847
79,1.76742
80,1.74668
81,1.72624
82,1.70609
83,1.68624
84,1.66667
85,1.6474
86,1.6284
87,1.60969
88,1.59126
89,1.5731
90,1.55521
91,1.53759
92,1.52023
93,1.50314
94,1.4863
95,1.46972
96,1.45339
97,1.43731
98,1.42147
99,1.40587
100,1.39051
101,1.37539
102,1.3605
103,1.34583
104,1.33139
105,1.31717
106,1.30316
107,1.28937
108,1.27579
109,1.26242
110,1.24925
111,1.23628
112,1.22352
113,1.21094
114,1.19856
115,1.18636
116,1.17435
117,1.16252
118,1.15087
119,1.13939
120,1.12809
121,1.11695
122,1.10599
123,1.09518
124,1.08454
125,1.07405
126,1.06372
127,1.05355
128,1.04352
129,1.03364
130,1.0239
131,1.01431
132,1.00485
133,0.99553
134,0.98635
135,0.97729
136,0.96837
137,0.95957
138,0.9509
139,0.94236
140,0.93393
141,0.92562
142,0.91743
143,0.90935
144,0.90138
145,0.89352
146,0.88578
147,0.87813
148,0.8706
149,0.86316
150,0.85583
151,0.8486
152,0.84146
153,0.83442
154,0.82747
155,0.82062
156,0.81386
157,0.80719
158,0.8006
159,0.79411
160,0.7877
161,0.78137
162,0.77512
163,0.76896
164,0.76288
165,0.75687
166,0.75095
167,0.7451
168,0.73932
169,0.73362
170,0.72799
171,0.72244
172,0.71695
173,0.71154
174,0.70619
175,0.70091
176,0.6957
177,0.69055
178,0.68547
179,0.68046
180,0.6755
181,0.67061
182,0.66578
183,0.66101
184,0.6563
185,0.65165
186,0.64705
187,0.64251
188,0.63803
189,0.63361
190,0.62924
191,0.62492
192,0.62066
193,0.61645
194,0.61229
195,0.60819
196,0.60413
197,0.60013
198,0.59617
199,0.59226
200,0.5884
201,0.58459
202,0.58083
203,0.57711
204,0.57343
205,0.56981
206,0.56622
207,0.56268
208,0.55919
209,0.55573
210,0.55232
211,0.54895
212,0.54563
213,0.54234
214,0.53909
215,0.53588
216,0.53272
217,0.52959
218,0.52649
219,0.52344
220,0.52042
221,0.51745
222,0.5145
223,0.51159
224,0.50872
225,0.50589
226,0.50308
227,0.50032
228,0.49758
229,0.49488
230,0.49221
231,0.48958
232,0.48697
233,0.4844
234,0.48186
235,0.47935
236,0.47687
237,0.47442
238,0.472
239,0.46961
240,0.46725
241,0.46492
242,0.46261
243,0.46034
244,0.45809
245,0.45587
246,0.45367
247,0.4515
248,0.44936
249,0.44725
250,0.44516
251,0.44309
252,0.44105
253,0.43904
254,0.43704
255,0.43508
256,0.43313
257,0.43121
258,0.42932
259,0.42745
260,0.42559
261,0.42377
262,0.42196
263,0.42017
264,0.41841
265,0.41667
266,0.41495
267,0.41325
268,0.41157
269,0.40991
270,0.40827
271,0.40665
272,0.40505
273,0.40347
274,0.40191
275,0.40037
276,0.39884
277,0.39734
278,0.39585
279,0.39438
280,0.39293
281,0.39149
282,0.39008
283,0.38868
284,0.38729
285,0.38593
286,0.38458
287,0.38324
288,0.38192
289,0.38062
290,0.37934
291,0.37807
292,0.37681
293,0.37557
294,0.37434
295,0.37313
296,0.37194
297,0.37076
298,0.36959
299,0.36844
300,0.3673
301,0.36617
302,0.36506
303,0.36396
304,0.36287
305,0.3618
306,0.36074
307,0.3597
308,0.35866
309,0.35764
310,0.35663
311,0.35563
312,0.35465
313,0.35368
314,0.35272
315,0.35177
316,0.35083
317,0.3499
318,0.34899
319,0.34808
320,0.34719
321,0.34631
322,0.34543
323,0.34457
324,0.34372
325,0.34288
326,0.34205
327,0.34123
328,0.34042
329,0.33962
330,0.33883
331,0.33805
332,0.33728
333,0.33651
334,0.33576
335,0.33502
336,0.33428
337,0.33356
338,0.33284
339,0.33213
340,0.33143
341,0.33074
342,0.33006
343,0.32938
344,0.32872
345,0.32806
346,0.32741
347,0.32677
348,0.32613
349,0.32551
350,0.32489
351,0.32428
352,0.32367
353,0.32308
354,0.32249
355,0.32191
356,0.32133
357,0.32077
358,0.32021
359,0.31965
360,0.31911
361,0.31857
362,0.31803
363,0.31751
364,0.31699
365,0.31648
366,0.31597
367,0.31547
368,0.31497
369,0.31448
370,0.314
371,0.31353
372,0.31306
373,0.31259
374,0.31213
375,0.31168
376,0.31123
377,0.31079
378,0.31036
379,0.30993
380,0.3095
381,0.30908
382,0.30867
383,0.30826
384,0.30785
385,0.30745
386,0.30706
387,0.30667
388,0.30629
389,0.30591
390,0.30553
391,0.30516
392,0.3048
393,0.30444
394,0.30408
395,0.30373
396,0.30339
397,0.30305
398,0.30271
399,0.30237
400,0.30205
401,0.30172
402,0.3014
403,0.30108
404,0.30077
405,0.30046
406,0.30016
407,0.29986
408,0.29956
409,0.29927
410,0.29898
411,0.2987
412,0.29842
413,0.29814
414,0.29787
415,0.2976
416,0.29733
417,0.29707
418,0.29681
419,0.29655
420,0.2963
421,0.29605
422,0.2958
423,0.29556
424,0.29532
425,0.29508
426,0.29485
427,0.29462
428,0.29439
429,0.29417
430,0.29395
431,0.29373
432,0.29352
433,0.29331
434,0.2931
435,0.29289
436,0.29269
437,0.29249
438,0.29229
439,0.2921
440,0.2919
441,0.29171
442,0.29153
443,0.29134
444,0.29116
445,0.29098
446,0.29081
447,0.29063
448,0.29046
449,0.29029
450,0.29012
451,0.28996
452,0.2898
453,0.28964
454,0.28948
455,0.28933
456,0.28917
457,0.28902
458,0.28887
459,0.28873
460,0.28858
461,0.28844
462,0.2883
463,0.28816
464,0.28803
465,0.28789
466,0.28776
467,0.28763
468,0.28751
469,0.28738
470,0.28726
471,0.28713
472,0.28701
473,0.28689
474,0.28678
475,0.28666
476,0.28655
477,0.28644
478,0.28633
479,0.28622
480,0.28612
481,0.28601
482,0.28591
483,0.28581
484,0.28571
485,0.28561
486,0.28551
487,0.28542
488,0.28533
489,0.28523
490,0.28514
491,0.28505
492,0.28497
493,0.28488
494,0.2848
495,0.28471
496,0.28463
497,0.28455
498,0.28447
