Time,Predicted,Actual
09:30,21330.0339148,21285.44
09:45,21285.8399243,21241.93
10:00,21242.3274142,21259.07
10:15,21259.3011363,21223.62
10:30,21225.2911408,21262.49
10:45,21262.6780488,21251.69
11:00,21251.9863181,21220.4
11:15,21211.1736178,21239.86
11:30,21240.054037,21202.5
11:45,21202.9030121,21202.88
12:00,21203.1633412,21209.75
12:15,21209.9898464,21197.0
12:30,21197.2993552,21237.76
12:45,21237.9378317,21265.55
13:00,21265.7721626,21286.95
13:15,21287.1950918,21298.41
13:30,21298.703545,21274.88
13:45,21275.2693179,21290.26
14:00,21289.7191859,21300.72
14:15,21300.9789937,21291.02
14:30,21291.3214761,21265.05
14:45,21265.4175549,21274.07
15:00,21274.3269553,21294.54
15:15,21294.760953,21292.6
