date,error,scp
2014-02-28,0.85,66.67
2014-03-03,0.07,40.5
2014-03-04,0.59,54.17
2014-03-05,0.59,54.17
2014-03-06,0.22,66.67
2014-03-11,0.22,41.67
2014-03-12,0.43,45.83
2014-03-13,0.33,37.5
2014-03-19,1.43,50
2014-03-20,0.86,45.83
2014-03-21,1.30,62.5
2014-03-24,0.79,66.67 
2014-03-25,0.75,37.5
2014-03-26,0.35,45.83
2014-03-27,0.70,54.17
2014-03-28,0.17,45.83
2014-03-31,0.24,41.67 
2014-04-01,1.38,58.33
2014-04-02,1.51,54.17
2014-04-03,0.49,41.67
2014-04-04,0.76,45.5
2014-04-07,0.14,54.17
2014-04-09,0.11,54.17
2014-04-17,0.12,54.17
2014-04-21,0.45,45.83
2014-04-22,0.87,54.17
2014-04-23,1.14,62.5
2014-05-06,0.85,45.83
2014-05-07,0.46,29.17
2014-05-08,0.38,45.83
2014-05-09,0.05,75
2014-05-12,0.85,62.5 
2014-05-13,0.56,58.33
2014-05-14,0.64,45.83
2014-05-15,0.76,41.67
